,YEAR,COUNTY,VIOLENT,F_DRUGOFF,total_population,drug_rate,violent_rate,treated,post_2010
20,2000,Alameda County,4356,7414,1443741.0,513.5270107311492,301.7161665423369,1,0
21,2001,Alameda County,4478,6486,1450394.0,447.18883282749374,308.7436930930492,1,0
22,2002,Alameda County,4424,6414,1457047.0,440.20542920029345,303.6278170848298,1,0
23,2003,Alameda County,4749,6708,1463700.0,458.29063332650134,324.45173191227707,1,0
24,2004,Alameda County,4301,6886,1470353.0,468.3229129331528,292.5147906659149,1,0
25,2005,Alameda County,4090,6328,1477006.0,428.43427853373646,276.91153590439035,1,0
26,2006,Alameda County,4042,5879,1483659.0,396.25008172363056,272.4345688598256,1,0
27,2007,Alameda County,4443,6071,1490312.0,407.36436397210787,298.1254931853196,1,0
28,2008,Alameda County,4336,5893,1496965.0,393.6631784978273,289.65273069176635,1,0
29,2009,Alameda County,4318,5749,1503618.0,382.34445184880735,287.1740029714994,1,0
176,2000,Calaveras County,166,143,40554.0,352.6162647334418,409.330768851408,1,0
177,2001,Calaveras County,201,136,41056.4,331.2516440798511,489.5704445591917,1,0
178,2002,Calaveras County,194,200,41558.8,481.24584925455014,466.8084737769137,1,0
179,2003,Calaveras County,166,163,42061.2,387.53055072132986,394.6630148450353,1,0
180,2004,Calaveras County,199,179,42563.6,420.5471341709818,467.5356407822647,1,0
181,2005,Calaveras County,162,143,43066.0,332.04848372265826,376.1668137277667,1,0
182,2006,Calaveras County,186,131,43568.4,300.67663719576575,426.9149199878811,1,0
183,2007,Calaveras County,193,157,44070.8,356.2449513056264,437.9316917323942,1,0
184,2008,Calaveras County,189,137,44573.2,307.3595792987715,424.0216093975753,1,0
185,2009,Calaveras County,211,123,45075.6,272.87490349546096,468.1024767279859,1,0
293,2000,Del Norte County,213,98,27507.0,356.2729487039663,774.3483476933145,1,0
294,2001,Del Norte County,181,109,27617.3,394.68014614028164,655.3862977191833,1,0
295,2002,Del Norte County,159,124,27727.6,447.2078362353756,573.4358545276187,1,0
296,2003,Del Norte County,154,108,27837.9,387.96029872943006,553.2026481882614,1,0
297,2004,Del Norte County,232,150,27948.2,536.7071940232287,830.107126755927,1,0
298,2005,Del Norte County,171,99,28058.5,352.83425699877046,609.4409893615126,1,0
299,2006,Del Norte County,174,100,28168.8,355.00269802050497,617.7046945556787,1,0
300,2007,Del Norte County,150,120,28279.1,424.34165160843173,530.4270645105397,1,0
301,2008,Del Norte County,148,106,28389.4,373.37879631129925,521.321338245965,1,0
302,2009,Del Norte County,144,79,28499.7,277.1959003077225,505.2684765102791,1,0
371,2000,Fresno County,5060,3034,799407.0,379.531327596581,632.9691884109096,1,0
372,2001,Fresno County,5243,3099,812511.3,381.41008008134776,645.2833332902569,1,0
373,2002,Fresno County,4952,3423,825615.6,414.59972413311965,599.7948682171219,1,0
374,2003,Fresno County,4939,3919,838719.9,467.25968943863137,588.8735917676449,1,0
375,2004,Fresno County,4884,4550,851824.2,534.1477736838189,573.357742125664,1,0
376,2005,Fresno County,4951,4702,864928.5,543.6287508158189,572.4172576114672,1,0
377,2006,Fresno County,4842,5233,878032.8,595.9914025990828,551.4600365726656,1,0
378,2007,Fresno County,5104,5378,891137.1,603.4986086877093,572.7513757422961,1,0
379,2008,Fresno County,4536,3940,904241.4,435.7243541381759,501.6359569468949,1,0
380,2009,Fresno County,4377,3508,917345.7,382.4076354203219,477.13746300876545,1,0
410,2000,Glenn County,118,136,26453.0,514.1193815446263,446.07416928136695,1,0
411,2001,Glenn County,163,142,26619.9,533.4355125300996,612.3238629746918,1,0
412,2002,Glenn County,147,125,26786.8,466.64775187779054,548.7777562082817,1,0
413,2003,Glenn County,113,142,26953.7,526.8293406842103,419.23743307968846,1,0
414,2004,Glenn County,113,141,27120.6,519.9000022123404,416.65744858152107,1,0
415,2005,Glenn County,137,172,27287.5,630.325240494732,502.06138341731565,1,0
416,2006,Glenn County,119,180,27454.4,655.6326126231132,433.4460050119471,1,0
417,2007,Glenn County,111,156,27621.3,564.781527299584,401.8637790400887,1,0
418,2008,Glenn County,104,83,27788.2,298.6879322878056,374.25957780640704,1,0
419,2009,Glenn County,104,104,27955.1,372.02514031428973,372.02514031428973,1,0
449,2000,Humboldt County,520,492,126518.0,388.8774719802716,411.00871022305125,1,0
450,2001,Humboldt County,469,475,127328.5,373.0508095202567,368.33858876842186,1,0
451,2002,Humboldt County,446,548,128139.0,427.6605873309453,348.0595291051124,1,0
452,2003,Humboldt County,534,606,128949.5,469.95141508885257,414.11560339512755,1,0
453,2004,Humboldt County,471,622,129760.0,479.3464858199753,362.9778051787916,1,0
454,2005,Humboldt County,452,630,130570.5,482.497960871713,346.17314018097505,1,0
455,2006,Humboldt County,457,581,131381.0,442.22528371682364,347.8432954536805,1,0
456,2007,Humboldt County,532,628,132191.5,475.0683667255459,402.4464507929784,1,0
457,2008,Humboldt County,441,619,133002.0,465.4065352400716,331.57396129381516,1,0
458,2009,Humboldt County,503,747,133812.5,558.2438113031294,375.8991125642223,1,0
488,2000,Imperial County,651,859,142361.0,603.3955928941213,457.2881617858824,1,0
489,2001,Imperial County,713,735,145577.7,504.88502016448945,489.77281547929385,1,0
490,2002,Imperial County,623,827,148794.4,555.8004871151065,418.6985531713559,1,0
491,2003,Imperial County,640,740,152011.1,486.8065555739022,421.02188590175325,1,0
492,2004,Imperial County,565,694,155227.8,447.0848649533138,363.9811940902339,1,0
493,2005,Imperial County,562,877,158444.5,553.5061172839701,354.69833285472197,1,0
494,2006,Imperial County,522,888,161661.2,549.2969246795149,322.8975165345797,1,0
495,2007,Imperial County,622,867,164877.9,525.8436697701754,377.2488611269309,1,0
496,2008,Imperial County,653,723,168094.6,430.114947178553,388.4717296093985,1,0
497,2009,Imperial County,599,730,171311.3,426.124838233088,349.65586041317766,1,0
527,2000,Inyo County,63,49,17945.0,273.05656171635553,351.0727222067428,1,0
528,2001,Inyo County,74,39,18005.1,216.60529516636953,410.99466262336784,1,0
529,2002,Inyo County,67,45,18065.2,249.09771272944667,370.87881673050947,1,0
530,2003,Inyo County,61,51,18125.3,281.3746531091899,336.546153718835,1,0
531,2004,Inyo County,79,69,18185.4,379.4252532251146,434.4144203591892,1,0
532,2005,Inyo County,75,83,18245.5,454.9066893206544,411.06026143432626,1,0
533,2006,Inyo County,67,113,18305.6,617.2974390350494,366.0082160650293,1,0
534,2007,Inyo County,68,83,18365.7,451.9294118928219,370.2554217917095,1,0
535,2008,Inyo County,53,88,18425.8,477.5912036383766,287.64015673674953,1,0
536,2009,Inyo County,81,39,18485.9,210.9716053857264,438.17179580112406,1,0
566,2000,Kern County,3446,3457,661645.0,522.4856229549079,520.8231000007556,1,0
567,2001,Kern County,3940,3441,679443.6,506.443801957955,579.8862481006518,1,0
568,2002,Kern County,4109,3500,697242.2,501.97764851295574,589.32175935421,1,0
569,2003,Kern County,3746,3433,715040.8,480.11246351257154,523.8861894314282,1,0
570,2004,Kern County,3875,3771,732839.4,514.5738616127899,528.7652383318909,1,0
571,2005,Kern County,3820,4161,750638.0,554.3284512641246,508.9004287019842,1,0
572,2006,Kern County,3867,4331,768436.6,563.6118841814666,503.22954424607053,1,0
573,2007,Kern County,4415,3759,786235.2,478.10120940909286,561.5368022189798,1,0
574,2008,Kern County,4570,3344,804033.8,415.902913534232,568.3840654460049,1,0
575,2009,Kern County,4290,3320,821832.4,403.9753117545621,522.0042432009251,1,0
644,2000,Lake County,305,196,58309.0,336.14021849114204,523.075339998971,1,0
645,2001,Lake County,302,246,58944.6,417.3410286947405,512.3454905114294,1,0
646,2002,Lake County,255,228,59580.2,382.67746667517065,427.9945350972303,1,0
647,2003,Lake County,319,276,60215.8,458.35146257294593,529.761291886847,1,0
648,2004,Lake County,374,330,60851.4,542.3046963586704,614.6119892064931,1,0
649,2005,Lake County,360,359,61487.0,583.8632556475352,585.4896156911217,1,0
650,2006,Lake County,401,285,62122.6,458.7702382063855,645.4977737570547,1,0
651,2007,Lake County,275,209,62758.2,333.0242103820696,438.18975050272314,1,0
652,2008,Lake County,289,224,63393.8,353.3468572636441,455.88054352318363,1,0
653,2009,Lake County,349,271,64029.4,423.2430727134722,545.0621120922576,1,0
722,2000,Los Angeles County,40440,33499,9519338.0,351.90472278639544,424.8194569832482,1,0
723,2001,Los Angeles County,42095,33570,9549264.7,351.54539176194373,440.8192810908258,1,0
724,2002,Los Angeles County,39768,36060,9579191.4,376.44095930685756,415.1498632755161,1,0
725,2003,Los Angeles County,39633,42002,9609118.1,437.1056694578455,412.4520022290079,1,0
726,2004,Los Angeles County,37397,46060,9639044.8,477.8481784834115,387.9741278928385,1,0
727,2005,Los Angeles County,36322,48411,9668971.5,500.6840696551851,375.65525971402434,1,0
728,2006,Los Angeles County,35384,47549,9698898.2,490.25156280122627,364.8249447550651,1,0
729,2007,Los Angeles County,36250,45112,9728824.9,463.6942330003287,372.60409527979067,1,0
730,2008,Los Angeles County,36452,40928,9758751.6,419.3979074126654,373.53138489558444,1,0
731,2009,Los Angeles County,35319,32193,9788678.3,328.8799469485068,360.81479968546927,1,0
878,2000,Mendocino County,432,446,86265.0,517.0115342259317,500.78247261345854,1,0
879,2001,Mendocino County,465,419,86422.6,484.8268855600271,538.0537035451375,1,0
880,2002,Mendocino County,474,398,86580.2,459.6893978068889,547.4692828152396,1,0
881,2003,Mendocino County,478,447,86737.8,515.3462504236908,551.0861469855126,1,0
882,2004,Mendocino County,461,473,86895.4,544.3326113925478,530.522904549608,1,0
883,2005,Mendocino County,418,533,87053.0,612.2706856742444,480.16725443120856,1,0
884,2006,Mendocino County,485,532,87210.6,610.0175896049333,556.1250581924673,1,0
885,2007,Mendocino County,456,515,87368.2,589.459322728407,521.9290313867059,1,0
886,2008,Mendocino County,410,509,87525.8,581.5428136618003,468.43330766471144,1,0
887,2009,Mendocino County,415,551,87683.4,628.3971652559094,473.2936907099862,1,0
917,2000,Merced County,1172,903,210554.0,428.86860377860313,556.6268035753299,1,0
918,2001,Merced County,1236,1095,215077.9,509.11785915707753,574.6755012951121,1,0
919,2002,Merced County,1238,1057,219601.8,481.32574505309157,563.7476559846049,1,0
920,2003,Merced County,1332,1328,224125.7,592.5246413061956,594.3093540812142,1,0
921,2004,Merced County,1241,1290,228649.6,564.1820497389892,542.7518788574307,1,0
922,2005,Merced County,1197,1461,233173.5,626.5720590032744,513.351645877426,1,0
923,2006,Merced County,1361,1373,237697.4,577.6251654414393,572.5767299095404,1,0
924,2007,Merced County,1244,1102,242221.3,454.95586061176294,513.579937024531,1,0
925,2008,Merced County,1272,1108,246745.2,449.0462225810269,515.5115479450055,1,0
926,2009,Merced County,1169,1055,251269.1,419.86857914482914,465.238264474223,1,0
1229,2000,Plumas County,126,46,20824.0,220.89896273530542,605.0710718401843,1,0
1230,2001,Plumas County,107,59,20742.3,284.44290170328264,515.8540759703601,1,0
1231,2002,Plumas County,131,80,20660.6,387.21043919344066,634.0570941792591,1,0
1232,2003,Plumas County,125,93,20578.9,451.9191987909946,607.4182779448852,1,0
1233,2004,Plumas County,107,100,20497.2,487.8715141580313,522.0225201490935,1,0
1234,2005,Plumas County,85,125,20415.5,612.2798853812054,416.3503220592197,1,0
1235,2006,Plumas County,102,98,20333.8,481.9561518260237,501.627831492392,1,0
1236,2007,Plumas County,106,111,20252.1,548.091309049432,523.4025113445026,1,0
1237,2008,Plumas County,109,83,20170.4,411.49407051917655,540.39582754928,1,0
1238,2009,Plumas County,100,104,20088.7,517.7039828361218,497.79229118857864,1,0
