,YEAR,COUNTY,VIOLENT,F_DRUGOFF,total_population,drug_rate,violent_rate,treated,post_2010
59,2000,Alpine County,6,11,1208.0,910.5960264900662,496.6887417218543,0,0
60,2001,Alpine County,5,12,1204.7,996.0986137627625,415.0410890678177,0,0
61,2002,Alpine County,11,10,1201.4,832.3622440486099,915.5984684534709,0,0
62,2003,Alpine County,7,4,1198.1,333.8619480844671,584.2584091478175,0,0
63,2004,Alpine County,7,6,1194.8,502.1760964178105,585.8721124874456,0,0
64,2005,Alpine County,10,10,1191.5,839.278220730172,839.278220730172,0,0
65,2006,Alpine County,7,4,1188.2,336.64366268304997,589.1264096953374,0,0
66,2007,Alpine County,8,1,1184.9,84.39530762089628,675.1624609671702,0,0
67,2008,Alpine County,4,4,1181.6,338.5240352064997,338.5240352064997,0,0
68,2009,Alpine County,8,2,1178.3,169.7360604260375,678.94424170415,0,0
98,2000,Amador County,93,113,35100.0,321.93732193732194,264.95726495726495,0,0
99,2001,Amador County,94,171,35399.1,483.0631287236116,265.5434742691198,0,0
100,2002,Amador County,110,160,35698.2,448.20187012230315,308.1387857090834,0,0
101,2003,Amador County,92,165,35997.3,458.36771091165167,255.57472365983,0,0
102,2004,Amador County,111,147,36296.4,404.998842860449,305.8154527721757,0,0
103,2005,Amador County,133,225,36595.5,614.8296921752675,363.4326624858248,0,0
104,2006,Amador County,100,132,36894.6,357.77593468962937,271.0423747648707,0,0
105,2007,Amador County,93,111,37193.7,298.43763863234904,250.04234588115733,0,0
106,2008,Amador County,77,113,37492.8,301.3912004438185,205.37276490419492,0,0
107,2009,Amador County,100,101,37791.9,267.25303570341794,264.60696604298806,0,0
137,2000,Butte County,631,479,203171.0,235.76199359160512,310.57582036806434,0,0
138,2001,Butte County,561,399,204853.9,194.7729577030264,273.8537074471123,0,0
139,2002,Butte County,403,323,206536.8,156.3885951559238,195.12261253200398,0,0
140,2003,Butte County,571,409,208219.7,196.42713921881548,274.2295757798133,0,0
141,2004,Butte County,609,486,209902.6,231.53596001192935,290.1345671754423,0,0
142,2005,Butte County,635,572,211585.5,270.3398862398416,300.11508350052344,0,0
143,2006,Butte County,628,570,213268.4,267.26884995620543,294.4646276710474,0,0
144,2007,Butte County,743,642,214951.3,298.67230391256066,345.65969128821274,0,0
145,2008,Butte County,656,581,216634.2,268.19403399832527,302.81460637332424,0,0
146,2009,Butte County,641,542,218317.1,248.26273342766095,293.60961647072077,0,0
215,2000,Colusa County,88,83,18804.0,441.3954477770687,467.98553499255473,0,0
216,2001,Colusa County,62,52,19065.5,272.7439616060423,325.19472345335816,0,0
217,2002,Colusa County,70,38,19327.0,196.61613287111297,362.18761318362914,0,0
218,2003,Colusa County,83,37,19588.5,188.8863363708298,423.71799780483445,0,0
